K2,K4,C11,C12,C44,q_x,q_y,q_z,Rho*v1^2,Rho*v2^2,Rho*v3^2,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0.03,0.01,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.03,0.02,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.03,0.03,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.03,0.04,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0.05,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.04,0.01,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.04,0.02,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.04,0.03,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.04,0.04,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0.05,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.05,0.01,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.05,0.02,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.05,0.03,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.05,0.04,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0.05,1.97986,0.424257,1.27277,0,0,1,1.27277,1.27277,1.97986,0,0,1,n
0,0,1.41419,0.707094,0.707094,0,0,1,0.707094,0.707094,1.41419,0,0,1,n
0,0.01,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0,0.02,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0,0.03,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0,0.04,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0,0.05,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0.01,0.01,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.01,0.02,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.01,0.03,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.01,0.04,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0.05,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.02,0.01,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.02,0.02,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.02,0.03,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.02,0.04,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0.05,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.03,0.01,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.03,0.02,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.03,0.03,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.03,0.04,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0.05,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.04,0.01,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.04,0.02,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.04,0.03,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.04,0.04,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0.05,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.05,0.01,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.05,0.02,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.05,0.03,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.05,0.04,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0.05,1.97986,0.424257,1.27277,0,0,1,1.27277,1.27277,1.97986,0,0,1,n
0,0,1.41419,0.707094,0.707094,0,0,1,0.707094,0.707094,1.41419,0,0,1,n
0,0.01,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0,0.02,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0,0.03,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0,0.04,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0,0.05,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0.01,0.01,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.01,0.02,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.01,0.03,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.01,0.04,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0.05,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.02,0.01,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.02,0.02,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.02,0.03,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.02,0.04,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0.05,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.03,0.01,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.03,0.02,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.03,0.03,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.03,0.04,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0.05,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.04,0.01,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.04,0.02,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.04,0.03,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.04,0.04,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0.05,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.05,0.01,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.05,0.02,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.05,0.03,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.05,0.04,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0.05,1.97986,0.424257,1.27277,0,0,1,1.27277,1.27277,1.97986,0,0,1,n
0,0,1.41419,0.707094,0.707094,0,0,1,0.707094,0.707094,1.41419,0,0,1,n
0,0.01,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0,0.02,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0,0.03,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0,0.04,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0,0.05,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0.01,0.01,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.01,0.02,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.01,0.03,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.01,0.04,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0.05,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.02,0.01,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.02,0.02,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.02,0.03,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.02,0.04,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0.05,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.03,0.01,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.03,0.02,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.03,0.03,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.03,0.04,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0.05,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.04,0.01,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.04,0.02,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.04,0.03,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.04,0.04,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0.05,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.05,0.01,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.05,0.02,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.05,0.03,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.05,0.04,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0.05,1.97986,0.424257,1.27277,0,0,1,1.27277,1.27277,1.97986,0,0,1,n
0,0,1.41419,0.707094,0.707094,0,0,1,0.707094,0.707094,1.41419,0,0,1,n
0,0.01,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0,0.02,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0,0.03,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0,0.04,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0,0.05,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0.01,0.01,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.01,0.02,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.01,0.03,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.01,0.04,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0.05,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.02,0.01,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.02,0.02,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.02,0.03,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.02,0.04,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0.05,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.03,0.01,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.03,0.02,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.03,0.03,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.03,0.04,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0.05,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.04,0.01,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.04,0.02,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.04,0.03,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.04,0.04,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0.05,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.05,0.01,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.05,0.02,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.05,0.03,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.05,0.04,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0.05,1.97986,0.424257,1.27277,0,0,1,1.27277,1.27277,1.97986,0,0,1,n
0,0,1.41419,0.707094,0.707094,0,0,1,0.707094,0.707094,1.41419,0,0,1,n
0,0.01,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0,0.02,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0,0.03,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0,0.04,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0,0.05,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0.01,0.01,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.01,0.02,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.01,0.03,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.01,0.04,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0.05,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.02,0.01,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.02,0.02,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.02,0.03,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.02,0.04,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0.05,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.03,0.01,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.03,0.02,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.03,0.03,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.03,0.04,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0.05,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.04,0.01,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.04,0.02,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.04,0.03,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.04,0.04,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0.05,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.05,0.01,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.05,0.02,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.05,0.03,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.05,0.04,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0.05,1.97986,0.424257,1.27277,0,0,1,1.27277,1.27277,1.97986,0,0,1,n
0,0,1.41419,0.707094,0.707094,0,0,1,0.707094,0.707094,1.41419,0,0,1,n
0,0.01,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0,0.02,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0,0.03,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0,0.04,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0,0.05,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0.01,0.01,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.01,0.02,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.01,0.03,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.01,0.04,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0.05,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.02,0.01,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.02,0.02,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.02,0.03,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.02,0.04,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0.05,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.03,0.01,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.03,0.02,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.03,0.03,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.03,0.04,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0.05,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.04,0.01,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.04,0.02,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.04,0.03,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.04,0.04,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0.05,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.05,0.01,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.05,0.02,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.05,0.03,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.05,0.04,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0.05,1.97986,0.424257,1.27277,0,0,1,1.27277,1.27277,1.97986,0,0,1,n
0,0,1.41419,0.707094,0.707094,0,0,1,0.707094,0.707094,1.41419,0,0,1,n
0,0.01,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0,0.02,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0,0.03,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0,0.04,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0,0.05,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
0.01,0.01,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.01,0.02,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.01,0.03,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.01,0.04,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.01,0.05,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0,1.52732,0.650527,0.820229,0,0,1,0.820229,0.820229,1.52732,0,0,1,n
0.02,0.01,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.02,0.02,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.02,0.03,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.02,0.04,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.02,0.05,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0,1.58389,0.622243,0.876797,0,0,1,0.876797,0.876797,1.58389,0,0,1,n
0.03,0.01,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.03,0.02,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.03,0.03,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.03,0.04,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.03,0.05,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0,1.64046,0.593959,0.933365,0,0,1,0.933365,0.933365,1.64046,0,0,1,n
0.04,0.01,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.04,0.02,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.04,0.03,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.04,0.04,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.04,0.05,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0,1.69703,0.565675,0.989932,0,0,1,0.989932,0.989932,1.69703,0,0,1,n
0.05,0.01,1.75359,0.537392,1.0465,0,0,1,1.0465,1.0465,1.75359,0,0,1,n
0.05,0.02,1.81016,0.509108,1.10307,0,0,1,1.10307,1.10307,1.81016,0,0,1,n
0.05,0.03,1.86673,0.480824,1.15963,0,0,1,1.15963,1.15963,1.86673,0,0,1,n
0.05,0.04,1.9233,0.45254,1.2162,0,0,1,1.2162,1.2162,1.9233,0,0,1,n
0.05,0.05,1.97986,0.424257,1.27277,0,0,1,1.27277,1.27277,1.97986,0,0,1,n
0,0,1.41419,0.707094,0.707094,0,0,1,0.707094,0.707094,1.41419,0,0,1,n
0,0.01,1.47076,0.678811,0.763662,0,0,1,0.763662,0.763662,1.47076,0,0,1,n
